-0.36058,-1.4423,-3.2452,-5.7692,-9.0144,-12.981,-17.668,-23.077,-29.207,-36.058,-43.63,-51.923,-60.937,-70.673,-81.13,-92.307,-104.21,-116.83,-130.17,-144.23,-159.01,-174.52,-190.74,-207.69,-225.36,
-0.26467,-1.0587,-2.382,-4.2347,-6.6167,-9.528,-12.969,-16.939,-21.438,-26.467,-32.025,-38.112,-44.729,-51.875,-59.55,-67.755,-76.489,-85.752,-95.545,-105.87,-116.72,-128.1,-140.01,-152.45,-165.42,
-0.25031,-1.0013,-2.2528,-4.005,-6.2578,-9.0113,-12.265,-16.02,-20.275,-25.031,-30.288,-36.045,-42.303,-49.061,-56.32,-64.08,-72.34,-81.101,-90.363,-100.13,-110.39,-121.15,-132.42,-144.18,-156.45,
-0.24156,-0.96625,-2.1741,-3.865,-6.0391,-8.6963,-11.837,-15.46,-19.567,-24.156,-29.229,-34.785,-40.824,-47.346,-54.352,-61.84,-69.812,-78.266,-87.204,-96.625,-106.53,-116.92,-127.79,-139.14,-150.98,
-0.23518,-0.94073,-2.1166,-3.7629,-5.8796,-8.4666,-11.524,-15.052,-19.05,-23.518,-28.457,-33.866,-39.746,-46.096,-52.916,-60.207,-67.968,-76.199,-84.901,-94.073,-103.72,-113.83,-124.41,-135.46,-146.99,
-0.23013,-0.92051,-2.0711,-3.682,-5.7532,-8.2846,-11.276,-14.728,-18.64,-23.013,-27.845,-33.138,-38.891,-45.105,-51.779,-58.913,-66.507,-74.561,-83.076,-92.051,-101.49,-111.38,-121.74,-132.55,-143.83,
-0.22592,-0.9037,-2.0333,-3.6148,-5.6481,-8.1333,-11.07,-14.459,-18.3,-22.592,-27.337,-32.533,-38.181,-44.281,-50.833,-57.837,-65.292,-73.2,-81.559,-90.37,-99.633,-109.35,-119.51,-130.13,-141.2,
-0.22232,-0.88928,-2.0009,-3.5571,-5.558,-8.0035,-10.894,-14.228,-18.008,-22.232,-26.901,-32.014,-37.572,-43.575,-50.022,-56.914,-64.25,-72.031,-80.257,-88.928,-98.043,-107.6,-117.61,-128.06,-138.95,
-0.21916,-0.87662,-1.9724,-3.5065,-5.4789,-7.8896,-10.739,-14.026,-17.752,-21.916,-26.518,-31.558,-37.037,-42.954,-49.31,-56.104,-63.336,-71.006,-79.115,-87.662,-96.647,-106.07,-115.93,-126.23,-136.97,
-0.21633,-0.86533,-1.947,-3.4613,-5.4083,-7.7879,-10.6,-13.845,-17.523,-21.633,-26.176,-31.152,-36.56,-42.401,-48.675,-55.381,-62.52,-70.092,-78.096,-86.533,-95.402,-104.7,-114.44,-124.61,-135.21,
-0.21378,-0.85512,-1.924,-3.4205,-5.3445,-7.6961,-10.475,-13.682,-17.316,-21.378,-25.867,-30.784,-36.129,-41.901,-48.1,-54.728,-61.782,-69.265,-77.174,-85.512,-94.277,-103.47,-113.09,-123.14,-133.61,
-0.21145,-0.8458,-1.903,-3.3832,-5.2862,-7.6122,-10.361,-13.533,-17.127,-21.145,-25.585,-30.449,-35.735,-41.444,-47.576,-54.131,-61.109,-68.509,-76.333,-84.58,-93.249,-102.34,-111.86,-121.79,-132.16,
-0.2093,-0.83721,-1.8837,-3.3488,-5.2326,-7.5349,-10.256,-13.395,-16.953,-20.93,-25.326,-30.139,-35.372,-41.023,-47.093,-53.581,-60.488,-67.814,-75.558,-83.721,-92.302,-101.3,-110.72,-120.56,-130.81,
-0.20731,-0.82924,-1.8658,-3.317,-5.1828,-7.4632,-10.158,-13.268,-16.792,-20.731,-25.085,-29.853,-35.036,-40.633,-46.645,-53.072,-59.913,-67.169,-74.839,-82.924,-91.424,-100.34,-109.67,-119.41,-129.57,
-0.20545,-0.82181,-1.8491,-3.2872,-5.1363,-7.3963,-10.067,-13.149,-16.642,-20.545,-24.86,-29.585,-34.722,-40.269,-46.227,-52.596,-59.376,-66.567,-74.168,-82.181,-90.605,-99.439,-108.68,-118.34,-128.41,
-0.20371,-0.81484,-1.8334,-3.2594,-5.0928,-7.3336,-9.9818,-13.037,-16.501,-20.371,-24.649,-29.334,-34.427,-39.927,-45.835,-52.15,-58.872,-66.002,-73.54,-81.484,-89.836,-98.596,-107.76,-117.34,-127.32,
-0.20207,-0.80828,-1.8186,-3.2331,-5.0517,-7.2745,-9.9014,-12.932,-16.368,-20.207,-24.45,-29.098,-34.15,-39.606,-45.466,-51.73,-58.398,-65.471,-72.947,-80.828,-89.113,-97.802,-106.89,-116.39,-126.29,
-0.20052,-0.80207,-1.8047,-3.2083,-5.0129,-7.2186,-9.8254,-12.833,-16.242,-20.052,-24.263,-28.875,-33.888,-39.302,-45.117,-51.333,-57.95,-64.968,-72.387,-80.207,-88.428,-97.051,-106.07,-115.5,-125.32,
-0.19905,-0.79618,-1.7914,-3.1847,-4.9762,-7.1657,-9.7533,-12.739,-16.123,-19.905,-24.085,-28.663,-33.639,-39.013,-44.785,-50.956,-57.524,-64.491,-71.856,-79.618,-87.779,-96.338,-105.3,-114.65,-124.4,
-0.19765,-0.79058,-1.7788,-3.1623,-4.9411,-7.1152,-9.6846,-12.649,-16.009,-19.765,-23.915,-28.461,-33.402,-38.739,-44.47,-50.597,-57.12,-64.037,-71.35,-79.058,-87.162,-95.66,-104.55,-113.84,-123.53,
-0.19631,-0.78524,-1.7668,-3.1409,-4.9077,-7.0671,-9.6191,-12.564,-15.901,-19.631,-23.753,-28.269,-33.176,-38.477,-44.17,-50.255,-56.733,-63.604,-70.868,-78.524,-86.572,-95.014,-103.85,-113.07,-122.69,
-0.19503,-0.78012,-1.7553,-3.1205,-4.8758,-7.0211,-9.5565,-12.482,-15.798,-19.503,-23.599,-28.084,-32.96,-38.226,-43.882,-49.928,-56.364,-63.19,-70.406,-78.012,-86.009,-94.395,-103.17,-112.34,-121.89,
-0.19381,-0.77522,-1.7443,-3.1009,-4.8452,-6.977,-9.4965,-12.404,-15.698,-19.381,-23.451,-27.908,-32.753,-37.986,-43.606,-49.614,-56.01,-62.793,-69.964,-77.522,-85.469,-93.802,-102.52,-111.63,-121.13,
-0.19263,-0.77052,-1.7337,-3.0821,-4.8157,-6.9347,-9.4389,-12.328,-15.603,-19.263,-23.308,-27.739,-32.554,-37.755,-43.342,-49.313,-55.67,-62.412,-69.539,-77.052,-84.95,-93.233,-101.9,-110.95,-120.39,
-0.1915,-0.76599,-1.7235,-3.064,-4.7874,-6.8939,-9.3834,-12.256,-15.511,-19.15,-23.171,-27.576,-32.363,-37.534,-43.087,-49.023,-55.343,-62.045,-69.131,-76.599,-84.451,-92.685,-101.3,-110.3,-119.69,
-0.19041,-0.76163,-1.7137,-3.0465,-4.7602,-6.8547,-9.33,-12.186,-15.423,-19.041,-23.039,-27.419,-32.179,-37.32,-42.842,-48.744,-55.028,-61.692,-68.737,-76.163,-83.97,-92.157,-100.73,-109.67,-119,
-0.18935,-0.75742,-1.7042,-3.0297,-4.7339,-6.8168,-9.2784,-12.119,-15.338,-18.935,-22.912,-27.267,-32.001,-37.113,-42.605,-48.475,-54.723,-61.351,-68.357,-75.742,-83.505,-91.648,-100.17,-109.07,-118.35,
-0.18834,-0.75335,-1.695,-3.0134,-4.7084,-6.7801,-9.2285,-12.054,-15.255,-18.834,-22.789,-27.121,-31.829,-36.914,-42.376,-48.214,-54.429,-61.021,-67.99,-75.335,-83.057,-91.155,-99.63,-108.48,-117.71,
-0.18735,-0.74941,-1.6862,-2.9976,-4.6838,-6.7447,-9.1803,-11.991,-15.176,-18.735,-22.67,-26.979,-31.663,-36.721,-42.154,-47.962,-54.145,-60.702,-67.634,-74.941,-82.622,-90.678,-99.109,-107.91,-117.1,
-0.1864,-0.74559,-1.6776,-2.9824,-4.66,-6.7103,-9.1335,-11.929,-15.098,-18.64,-22.554,-26.841,-31.501,-36.534,-41.94,-47.718,-53.869,-60.393,-67.29,-74.559,-82.202,-90.217,-98.605,-107.37,-116.5,
-0.16668,-0.66671,-1.5001,-2.6668,-4.1669,-6.0004,-8.1672,-10.667,-13.501,-16.668,-20.168,-24.002,-28.168,-32.669,-37.502,-42.669,-48.17,-54.003,-60.171,-66.671,-73.505,-80.672,-88.172,-96.006,-104.17,
-0.15425,-0.61702,-1.3883,-2.4681,-3.8564,-5.5532,-7.5585,-9.8723,-12.495,-15.425,-18.665,-22.213,-26.069,-30.234,-34.707,-39.489,-44.58,-49.979,-55.686,-61.702,-68.026,-74.659,-81.601,-88.851,-96.409,
-0.14496,-0.57985,-1.3047,-2.3194,-3.6241,-5.2187,-7.1032,-9.2777,-11.742,-14.496,-17.541,-20.875,-24.499,-28.413,-32.617,-37.111,-41.894,-46.968,-52.332,-57.985,-63.929,-70.162,-76.686,-83.499,-90.602,
-0.13744,-0.54978,-1.237,-2.1991,-3.4361,-4.948,-6.7348,-8.7964,-11.133,-13.744,-16.631,-19.792,-23.228,-26.939,-30.925,-35.186,-39.721,-44.532,-49.617,-54.978,-60.613,-66.523,-72.708,-79.168,-85.903,
-0.13107,-0.5243,-1.1797,-2.0972,-3.2769,-4.7187,-6.4226,-8.3887,-10.617,-13.107,-15.86,-18.875,-22.152,-25.691,-29.492,-33.555,-37.88,-42.468,-47.318,-52.43,-57.804,-63.44,-69.338,-75.499,-81.921,
-0.12551,-0.50205,-1.1296,-2.0082,-3.1378,-4.5185,-6.1502,-8.0329,-10.167,-12.551,-15.187,-18.074,-21.212,-24.601,-28.241,-32.131,-36.273,-40.666,-45.31,-50.205,-55.351,-60.749,-66.397,-72.296,-78.446,
-0.12056,-0.48222,-1.085,-1.9289,-3.0139,-4.34,-5.9072,-7.7156,-9.765,-12.056,-14.587,-17.36,-20.374,-23.629,-27.125,-30.862,-34.841,-39.06,-43.521,-48.222,-53.165,-58.349,-63.774,-69.44,-75.347,
-0.11606,-0.46426,-1.0446,-1.857,-2.9016,-4.1783,-5.6872,-7.4281,-9.4012,-11.606,-14.044,-16.713,-19.615,-22.749,-26.115,-29.713,-33.543,-37.605,-41.899,-46.426,-51.185,-56.175,-61.398,-66.853,-72.541,
-0.11195,-0.44779,-1.0075,-1.7912,-2.7987,-4.0301,-5.4854,-7.1646,-9.0678,-11.195,-13.546,-16.12,-18.919,-21.942,-25.188,-28.659,-32.353,-36.271,-40.413,-44.779,-49.369,-54.183,-59.22,-64.482,-69.967,
-0.092657,-0.37063,-0.83391,-1.4825,-2.3164,-3.3356,-4.5402,-5.93,-7.5052,-9.2657,-11.211,-13.343,-15.659,-18.161,-20.848,-23.72,-26.778,-30.021,-33.449,-37.063,-40.862,-44.846,-49.015,-53.37,-57.91,
-0.078003,-0.31201,-0.70202,-1.248,-1.9501,-2.8081,-3.8221,-4.9922,-6.3182,-7.8003,-9.4383,-11.232,-13.182,-15.289,-17.551,-19.969,-22.543,-25.273,-28.159,-31.201,-34.399,-37.753,-41.263,-44.93,-48.752,
-0.065799,-0.26319,-0.59219,-1.0528,-1.645,-2.3688,-3.2241,-4.2111,-5.3297,-6.5799,-7.9616,-9.475,-11.12,-12.897,-14.805,-16.844,-19.016,-21.319,-23.753,-26.319,-29.017,-31.847,-34.808,-37.9,-41.124,
-0.055099,-0.22039,-0.49589,-0.88158,-1.3775,-1.9836,-2.6998,-3.5263,-4.463,-5.5099,-6.6669,-7.9342,-9.3117,-10.799,-12.397,-14.105,-15.924,-17.852,-19.891,-22.039,-24.299,-26.668,-29.147,-31.737,-34.437,
-0.045398,-0.18159,-0.40858,-0.72637,-1.1349,-1.6343,-2.2245,-2.9055,-3.6772,-4.5398,-5.4931,-6.5373,-7.6722,-8.898,-10.215,-11.622,-13.12,-14.709,-16.389,-18.159,-20.02,-21.973,-24.015,-26.149,-28.374,
-0.036389,-0.14556,-0.32751,-0.58223,-0.90974,-1.31,-1.7831,-2.3289,-2.9475,-3.6389,-4.4031,-5.2401,-6.1498,-7.1323,-8.1876,-9.3157,-10.517,-11.79,-13.137,-14.556,-16.048,-17.613,-19.25,-20.96,-22.743,
-0.027868,-0.11147,-0.25081,-0.44589,-0.69671,-1.0033,-1.3655,-1.7836,-2.2573,-2.7868,-3.3721,-4.013,-4.7097,-5.4622,-6.2704,-7.1343,-8.0539,-9.0293,-10.06,-11.147,-12.29,-13.488,-14.742,-16.052,-17.418,
-0.019686,-0.078743,-0.17717,-0.31497,-0.49215,-0.70869,-0.96461,-1.2599,-1.5946,-1.9686,-2.382,-2.8348,-3.3269,-3.8584,-4.4293,-5.0396,-5.6892,-6.3782,-7.1066,-7.8743,-8.6814,-9.5279,-10.414,-11.339,-12.304,
-0.011727,-0.046907,-0.10554,-0.18763,-0.29317,-0.42217,-0.57461,-0.75052,-0.94987,-1.1727,-1.4189,-1.6887,-1.9818,-2.2985,-2.6385,-3.0021,-3.3891,-3.7995,-4.2334,-4.6907,-5.1715,-5.6758,-6.2035,-6.7547,-7.3293,
-0.0038952,-0.015581,-0.035057,-0.062323,-0.09738,-0.14023,-0.19086,-0.24929,-0.31551,-0.38952,-0.47132,-0.56091,-0.65829,-0.76346,-0.87642,-0.99717,-1.1257,-1.262,-1.4062,-1.5581,-1.7178,-1.8853,-2.0606,-2.2436,-2.4345,
0.003895,0.01558,0.035055,0.06232,0.097375,0.14022,0.19086,0.24928,0.3155,0.3895,0.4713,0.56088,0.65826,0.76342,0.87638,0.99712,1.1257,1.262,1.4061,1.558,1.7177,1.8852,2.0605,2.2435,2.4344,
0.011727,0.046907,0.10554,0.18763,0.29317,0.42216,0.5746,0.7505,0.94986,1.1727,1.4189,1.6886,1.9818,2.2984,2.6385,3.002,3.389,3.7994,4.2333,4.6907,5.1714,5.6757,6.2034,6.7545,7.3291,
0.019686,0.078743,0.17717,0.31497,0.49214,0.70868,0.9646,1.2599,1.5945,1.9686,2.382,2.8347,3.3269,3.8584,4.4293,5.0395,5.6891,6.3781,7.1065,7.8743,8.6814,9.5278,10.414,11.339,12.304,
0.027868,0.11147,0.25081,0.44589,0.6967,1.0033,1.3655,1.7836,2.2573,2.7868,3.372,4.013,4.7097,5.4621,6.2703,7.1342,8.0539,9.0293,10.06,11.147,12.29,13.488,14.742,16.052,17.418,
0.036389,0.14556,0.3275,0.58223,0.90973,1.31,1.7831,2.3289,2.9475,3.6389,4.4031,5.2401,6.1498,7.1323,8.1876,9.3157,10.516,11.79,13.137,14.556,16.048,17.612,19.25,20.96,22.743,
0.045398,0.18159,0.40858,0.72636,1.1349,1.6343,2.2245,2.9055,3.6772,4.5398,5.4931,6.5373,7.6722,8.8979,10.214,11.622,13.12,14.709,16.389,18.159,20.02,21.972,24.015,26.149,28.374,
0.055098,0.22039,0.49589,0.88158,1.3775,1.9835,2.6998,3.5263,4.463,5.5098,6.6669,7.9342,9.3116,10.799,12.397,14.105,15.923,17.852,19.891,22.039,24.298,26.668,29.147,31.737,34.437,
0.065798,0.26319,0.59219,1.0528,1.645,2.3687,3.2241,4.2111,5.3297,6.5798,7.9616,9.475,11.12,12.896,14.805,16.844,19.016,21.319,23.753,26.319,29.017,31.846,34.807,37.9,41.124,
0.078002,0.31201,0.70202,1.248,1.9501,2.8081,3.8221,4.9921,6.3182,7.8002,9.4383,11.232,13.182,15.288,17.551,19.969,22.543,25.273,28.159,31.201,34.399,37.753,41.263,44.929,48.751,
0.092656,0.37062,0.83391,1.4825,2.3164,3.3356,4.5401,5.93,7.5051,9.2656,11.211,13.342,15.659,18.161,20.848,23.72,26.778,30.021,33.449,37.062,40.861,44.846,49.015,53.37,57.91,
0.11195,0.44779,1.0075,1.7912,2.7987,4.0301,5.4854,7.1646,9.0677,11.195,13.546,16.12,18.919,21.942,25.188,28.658,32.353,36.271,40.413,44.779,49.369,54.182,59.22,64.481,69.967,
0.11606,0.46426,1.0446,1.857,2.9016,4.1783,5.6871,7.4281,9.4012,11.606,14.044,16.713,19.615,22.749,26.114,29.712,33.543,37.605,41.899,46.426,51.184,56.175,61.398,66.853,72.54,
0.12055,0.48222,1.085,1.9289,3.0139,4.34,5.9072,7.7155,9.7649,12.055,14.587,17.36,20.374,23.629,27.125,30.862,34.84,39.06,43.52,48.222,53.165,58.349,63.773,69.44,75.347,
0.12551,0.50205,1.1296,2.0082,3.1378,4.5185,6.1501,8.0328,10.167,12.551,15.187,18.074,21.212,24.6,28.24,32.131,36.273,40.666,45.31,50.205,55.351,60.748,66.396,72.295,78.445,
0.13107,0.52429,1.1797,2.0972,3.2768,4.7186,6.4226,8.3887,10.617,13.107,15.86,18.875,22.151,25.69,29.492,33.555,37.88,42.468,47.317,52.429,57.803,63.439,69.338,75.498,81.921,
0.13744,0.54977,1.237,2.1991,3.4361,4.948,6.7347,8.7964,11.133,13.744,16.631,19.792,23.228,26.939,30.925,35.185,39.721,44.532,49.617,54.977,60.613,66.523,72.708,79.167,85.902,
0.14496,0.57985,1.3047,2.3194,3.6241,5.2186,7.1032,9.2776,11.742,14.496,17.54,20.875,24.499,28.413,32.617,37.11,41.894,46.968,52.331,57.985,63.928,70.162,76.685,83.498,90.601,
0.15425,0.61701,1.3883,2.4681,3.8563,5.5531,7.5584,9.8722,12.495,15.425,18.665,22.212,26.069,30.234,34.707,39.489,44.579,49.978,55.685,61.701,68.026,74.659,81.6,88.85,96.408,
0.16668,0.6667,1.5001,2.6668,4.1669,6.0003,8.1671,10.667,13.501,16.668,20.168,24.001,28.168,32.668,37.502,42.669,48.169,54.003,60.17,66.67,73.504,80.671,88.171,96.005,104.17,
0.18639,0.74558,1.6775,2.9823,4.6599,6.7102,9.1333,11.929,15.098,18.639,22.554,26.841,31.501,36.533,41.939,47.717,53.868,60.392,67.288,74.558,82.2,90.215,98.603,107.36,116.5,
0.18735,0.74939,1.6861,2.9976,4.6837,6.7445,9.1801,11.99,15.175,18.735,22.669,26.978,31.662,36.72,42.153,47.961,54.144,60.701,67.633,74.939,82.621,90.677,99.107,107.91,117.09,
0.18833,0.75333,1.695,3.0133,4.7083,6.78,9.2283,12.053,15.255,18.833,22.788,27.12,31.828,36.913,42.375,48.213,54.428,61.02,67.988,75.333,83.055,91.153,99.628,108.48,117.71,
0.18935,0.7574,1.7042,3.0296,4.7338,6.8166,9.2782,12.118,15.337,18.935,22.911,27.266,32,37.113,42.604,48.474,54.722,61.35,68.356,75.74,83.504,91.646,100.17,109.07,118.34,
0.1904,0.76161,1.7136,3.0465,4.7601,6.8545,9.3298,12.186,15.423,19.04,23.039,27.418,32.178,37.319,42.841,48.743,55.027,61.691,68.736,76.161,83.968,92.155,100.72,109.67,119,
0.19149,0.76598,1.7234,3.0639,4.7874,6.8938,9.3832,12.256,15.511,19.149,23.171,27.575,32.363,37.533,43.086,49.022,55.342,62.044,69.129,76.598,84.449,92.683,101.3,110.3,119.68,
0.19263,0.7705,1.7336,3.082,4.8156,6.9345,9.4387,12.328,15.603,19.263,23.308,27.738,32.554,37.755,43.341,49.312,55.669,62.411,69.538,77.05,84.948,93.231,101.9,110.95,120.39,
0.1938,0.77521,1.7442,3.1008,4.8451,6.9769,9.4963,12.403,15.698,19.38,23.45,27.908,32.753,37.985,43.606,49.613,56.009,62.792,69.963,77.521,85.467,93.8,102.52,111.63,121.13,
0.19503,0.78011,1.7552,3.1204,4.8757,7.021,9.5563,12.482,15.797,19.503,23.598,28.084,32.96,38.225,43.881,49.927,56.363,63.189,70.405,78.011,86.007,94.393,103.17,112.34,121.89,
0.19631,0.78522,1.7667,3.1409,4.9076,7.067,9.619,12.564,15.901,19.631,23.753,28.268,33.176,38.476,44.169,50.254,56.732,63.603,70.866,78.522,86.571,95.012,103.85,113.07,122.69,
0.19764,0.79057,1.7788,3.1623,4.941,7.1151,9.6844,12.649,16.009,19.764,23.915,28.46,33.401,38.738,44.469,50.596,57.118,64.036,71.349,79.057,87.16,95.659,104.55,113.84,123.53,
0.19904,0.79617,1.7914,3.1847,4.9761,7.1655,9.7531,12.739,16.122,19.904,24.084,28.662,33.638,39.012,44.785,50.955,57.523,64.49,71.854,79.617,87.778,96.336,105.29,114.65,124.4,
0.20051,0.80206,1.8046,3.2082,5.0129,7.2185,9.8252,12.833,16.242,20.051,24.262,28.874,33.887,39.301,45.116,51.332,57.949,64.967,72.386,80.206,88.427,97.049,106.07,115.5,125.32,
0.20207,0.80826,1.8186,3.2331,5.0516,7.2744,9.9012,12.932,16.367,20.207,24.45,29.097,34.149,39.605,45.465,51.729,58.397,65.469,72.946,80.826,89.111,97.8,106.89,116.39,126.29,
0.20371,0.81483,1.8334,3.2593,5.0927,7.3334,9.9816,13.037,16.5,20.371,24.649,29.334,34.426,39.927,45.834,52.149,58.871,66.001,73.538,81.483,89.835,98.594,107.76,117.34,127.32,
0.20545,0.8218,1.849,3.2872,5.1362,7.3962,10.067,13.149,16.641,20.545,24.859,29.585,34.721,40.268,46.226,52.595,59.375,66.566,74.167,82.18,90.603,99.437,108.68,118.34,128.41,
0.20731,0.82923,1.8658,3.3169,5.1827,7.4631,10.158,13.268,16.792,20.731,25.084,29.852,35.035,40.632,46.644,53.071,59.912,67.168,74.838,82.923,91.422,100.34,109.67,119.41,129.57,
0.2093,0.83719,1.8837,3.3488,5.2325,7.5347,10.256,13.395,16.953,20.93,25.325,30.139,35.371,41.022,47.092,53.58,60.487,67.813,75.557,83.719,92.301,101.3,110.72,120.56,130.81,
0.21145,0.84578,1.903,3.3831,5.2861,7.612,10.361,13.533,17.127,21.145,25.585,30.448,35.734,41.443,47.575,54.13,61.108,68.508,76.332,84.578,93.247,102.34,111.85,121.79,132.15,
0.21378,0.85511,1.924,3.4204,5.3444,7.6959,10.475,13.682,17.316,21.378,25.867,30.784,36.128,41.9,48.1,54.727,61.781,69.264,77.173,85.511,94.275,103.47,113.09,123.14,133.61,
0.21633,0.86531,1.947,3.4613,5.4082,7.7878,10.6,13.845,17.523,21.633,26.176,31.151,36.56,42.4,48.674,55.38,62.519,70.09,78.095,86.531,95.401,104.7,114.44,124.61,135.21,
0.21915,0.87661,1.9724,3.5064,5.4788,7.8895,10.738,14.026,17.751,21.915,26.517,31.558,37.037,42.954,49.309,56.103,63.335,71.005,79.114,87.661,96.646,106.07,115.93,126.23,136.97,
0.22232,0.88926,2.0008,3.5571,5.5579,8.0034,10.893,14.228,18.008,22.232,26.9,32.013,37.571,43.574,50.021,56.913,64.249,72.03,80.256,88.926,98.041,107.6,117.61,128.05,138.95,
0.22592,0.90369,2.0333,3.6147,5.648,8.1332,11.07,14.459,18.3,22.592,27.337,32.533,38.181,44.281,50.832,57.836,65.291,73.199,81.558,90.369,99.631,109.35,119.51,130.13,141.2,
0.23012,0.9205,2.0711,3.682,5.7531,8.2845,11.276,14.728,18.64,23.012,27.845,33.138,38.891,45.104,51.778,58.912,66.506,74.56,83.075,92.05,101.48,111.38,121.74,132.55,143.83,
0.23518,0.94072,2.1166,3.7629,5.8795,8.4664,11.524,15.051,19.049,23.518,28.457,33.866,39.745,46.095,52.915,60.206,67.967,76.198,84.9,94.072,103.71,113.83,124.41,135.46,146.99,
0.24156,0.96624,2.174,3.865,6.039,8.6962,11.836,15.46,19.566,24.156,29.229,34.785,40.824,47.346,54.351,61.839,69.811,78.265,87.203,96.624,106.53,116.91,127.79,139.14,150.97,
0.25031,1.0012,2.2528,4.005,6.2578,9.0112,12.265,16.02,20.275,25.031,30.288,36.045,42.302,49.061,56.32,64.079,72.34,81.1,90.362,100.12,110.39,121.15,132.41,144.18,156.44,
0.26466,1.0587,2.382,4.2346,6.6166,9.5279,12.969,16.939,21.438,26.466,32.024,38.112,44.728,51.874,59.55,67.754,76.488,85.751,95.544,105.87,116.72,128.1,140.01,152.45,165.42,
0.36058,1.4423,3.2452,5.7692,9.0144,12.981,17.668,23.077,29.207,36.058,43.63,51.923,60.937,70.673,81.13,92.307,104.21,116.83,130.17,144.23,159.01,174.52,190.74,207.69,225.36